date,open,high,low,close,adj_close,volume,current_ratio,long-term_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pre-tax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe_-_return_on_equity,return_on_tangible_equity,roa_-_return_on_assets,roi_-_return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share,is_day_start_market,is_day_end_market,day_of_week,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,ATR_14,ADX_14,CCI_14,ROC_10,RSI_14
2016-06-24,23.227501,23.665001,23.1625,23.35,21.813219,301245600,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,1,5,23.803000399999974,24.022000199999987,24.378375099999992,24.416849980000006,23.785268390624864,23.985782131967685,24.164112667211338,24.53402902075734,0.45627761850290954,17.243960346984572,-162.10803264888685,-5.494283112415255,34.95633017949111
2016-06-27,23.25,23.262501,22.875,23.01,21.495594,181958400,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,1,0,1,23.650000399999975,23.889500299999984,24.27450009999999,24.327799980000005,23.52684559374991,23.808367198882653,24.05419717509597,24.474263176806073,0.4576149314669875,18.622287860453504,-178.64408180005813,-5.444828660153211,31.387293053065807
2016-06-28,23.225,23.415001,23.035,23.397499,21.857594,161779600,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,0,2,23.53399999999997,23.792750199999983,24.196125049999992,24.258349940000002,23.48373006249994,23.733663889994897,23.991654491753497,24.432037130656816,0.45385679350505975,19.39452227469653,-122.65706604582776,-3.9708639441822235,39.02797628652894
2016-06-29,23.4925,23.637501,23.407499,23.6,22.046766,146124000,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,0,3,23.47649979999997,23.724250199999982,24.14537504999999,24.19579992,23.522486708333293,23.70936136454128,23.95435406396745,24.399408223572234,0.43858145111184127,19.412646582200946,-71.23996964637787,-2.8206711962116437,42.623817924342475
2016-06-30,23.610001,23.942499,23.575001,23.9,22.327021,143345600,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,0,4,23.451499799999972,23.675500099999987,24.118875049999993,24.13814994,23.648324472222196,23.744022934624684,23.94917748644674,24.379823587353716,0.4335040617467098,18.57143634965002,-14.554450457270091,-1.9989789031684801,47.55813279534331
2016-07-01,23.872499,24.1175,23.8325,23.9725,22.394749,104106000,1.3527,0.3703,0.6786,38.0197,25.1025,25.1025,0.0,26.0138,19.2393,0.1456,13.6205,1.5991,56.2817,7.0285,7.535,2.8021,4.4257,6.0085,0.7401,0.5614,0,1,5,23.57599979999997,23.689500099999982,24.093500049999992,24.087749940000002,23.756382981481465,23.785564219238378,23.951398678213717,24.363850113339844,0.422896628764802,17.34120987455274,28.654697232334318,0.5874331270324218,48.706185033144955
2016-07-05,23.8475,23.85,23.615,23.747499,22.184555,110820800,1.3527,0.3703,0.6786,38.0197,25.1025,25.1025,0.0,26.0138,19.2393,0.1456,13.6205,1.5991,56.2817,7.0285,7.535,2.8021,4.4257,6.0085,0.7401,0.5614,0,0,2,23.723499599999972,23.686749999999982,24.04800004999999,24.034299920000002,23.753421654320977,23.778643270285947,23.931979661240984,24.339679481444165,0.4182254409958877,16.709837245734672,-13.920364437827104,-0.11567192429020601,45.385471018187154
2016-07-06,23.65,23.915001,23.592501,23.8825,22.310671,123796400,1.3527,0.3703,0.6786,38.0197,25.1025,25.1025,0.0,26.0138,19.2393,0.1456,13.6205,1.5991,56.2817,7.0285,7.535,2.8021,4.4257,6.0085,0.7401,0.5614,0,0,3,23.820499799999972,23.677249899999985,24.004250049999992,23.98654992,23.796447769547317,23.79752631205214,23.927267312551365,24.321750874328707,0.41138790949618154,15.94681100911552,11.157768008737518,-0.3962089293625737,47.68993457521038
2016-07-07,23.924999,24.125,23.905001,23.985001,22.406425,100558400,1.3527,0.3703,0.6786,38.0197,25.1025,25.1025,0.0,26.0138,19.2393,0.1456,13.6205,1.5991,56.2817,7.0285,7.535,2.8021,4.4257,6.0085,0.7401,0.5614,0,0,4,23.897499999999972,23.686999899999982,23.966750049999995,23.94449994,23.85929884636488,23.83161261895175,23.932765758975044,24.30854499690405,0.3993244873893114,14.933975081728574,75.64472581607598,0.4081632482192177,49.43451746330595
2016-07-08,24.122499,24.2225,24.012501,24.17,22.579247,115648400,1.3527,0.3703,0.6786,38.0197,25.1025,25.1025,0.0,26.0138,19.2393,0.1456,13.6205,1.5991,56.2817,7.0285,7.535,2.8021,4.4257,6.0085,0.7401,0.5614,0,1,5,23.951499999999974,23.70149989999998,23.92962504999999,23.938799940000003,23.962865897576588,23.89313759732416,23.955359496215518,24.30311185977056,0.3877655240043606,14.24225456075983,103.96539426511146,0.6035379812695307,52.51280260497819
